Histogram (CPU):
0.019531 3137860 
0.058594 3017635 
0.097656 2902001 
0.136719 2790664 
0.175781 2684170 
0.214844 2580109 
0.253906 2481948 
0.292969 2387862 
0.332031 2296939 
0.371094 2206759 
0.410156 2124767 
0.449219 2043620 
0.488281 1961414 
0.527344 1886368 
0.566406 1818630 
0.605469 1748154 
0.644531 1681523 
0.683594 1614795 
0.722656 1552237 
0.761719 1493759 
0.800781 1438897 
0.839844 1380171 
0.878906 1329875 
0.917969 1275925 
0.957031 1231170 
0.996094 1182264 
1.035156 1138115 
1.074219 1093607 
1.113281 1050096 
1.152344 1011455 
1.191406 972061 
1.230469 933656 
1.269531 899374 
1.308594 864895 
1.347656 832184 
1.386719 800431 
1.425781 769278 
1.464844 740575 
1.503906 711398 
1.542969 682135 
1.582031 656834 
1.621094 632627 
1.660156 608052 
1.699219 585159 
1.738281 564650 
1.777344 539842 
1.816406 519894 
1.855469 501367 
1.894531 481209 
1.933594 462349 
1.972656 445868 
2.011719 427957 
2.050781 411186 
2.089844 396298 
2.128906 381338 
2.167969 366271 
2.207031 351743 
2.246094 337775 
2.285156 325887 
2.324219 313704 
2.363281 301184 
2.402344 289969 
2.441406 277888 
2.480469 268677 
2.519531 257411 
2.558594 247952 
2.597656 238327 
2.636719 229503 
2.675781 219703 
2.714844 211834 
2.753906 203888 
2.792969 195939 
2.832031 188441 
2.871094 181179 
2.910156 174563 
2.949219 167848 
2.988281 161536 
3.027344 154552 
3.066406 149361 
3.105469 144127 
3.144531 137617 
3.183594 132560 
3.222656 128104 
3.261719 122694 
3.300781 117945 
3.339844 113385 
3.378906 109160 
3.417969 104957 
3.457031 100437 
3.496094 96771 
3.535156 92980 
3.574219 89745 
3.613281 85534 
3.652344 83014 
3.691406 79743 
3.730469 76460 
3.769531 73662 
3.808594 71055 
3.847656 68744 
3.886719 65610 
3.925781 63335 
3.964844 60496 
4.003906 58154 
4.042969 56344 
4.082031 54134 
4.121094 52376 
4.160156 50201 
4.199219 47941 
4.238281 46462 
4.277344 44362 
4.316406 42910 
4.355469 41128 
4.394531 39312 
4.433594 38135 
4.472656 36389 
4.511719 35189 
4.550781 33465 
4.589844 32230 
4.628906 31259 
4.667969 29843 
4.707031 29070 
4.746094 27584 
4.785156 26554 
4.824219 25446 
4.863281 24642 
4.902344 23746 
4.941406 22778 
4.980469 22139 
5.019531 21355 
5.058594 20271 
5.097656 19624 
5.136719 19092 
5.175781 18070 
5.214844 17450 
5.253906 16588 
5.292969 16008 
5.332031 15432 
5.371094 14702 
5.410156 14469 
5.449219 13729 
5.488281 13107 
5.527344 12789 
5.566406 12176 
5.605469 11651 
5.644531 11206 
5.683594 10988 
5.722656 10605 
5.761719 10094 
5.800781 9678 
5.839844 9246 
5.878906 8965 
5.917969 8664 
5.957031 8142 
5.996094 7921 
6.035156 7701 
6.074219 7384 
6.113281 6927 
6.152344 6635 
6.191406 6551 
6.230469 6345 
6.269531 5994 
6.308594 5860 
6.347656 5713 
6.386719 5386 
6.425781 5191 
6.464844 4859 
6.503906 4833 
6.542969 4674 
6.582031 4413 
6.621094 4203 
6.660156 3940 
6.699219 3935 
6.738281 3747 
6.777344 3624 
6.816406 3497 
6.855469 3342 
6.894531 3171 
6.933594 3123 
6.972656 2982 
7.011719 2868 
7.050781 2791 
7.089844 2627 
7.128906 2593 
7.167969 2506 
7.207031 2342 
7.246094 2305 
7.285156 2192 
7.324219 2157 
7.363281 2040 
7.402344 1947 
7.441406 1855 
7.480469 1840 
7.519531 1803 
7.558594 1661 
7.597656 1569 
7.636719 1619 
7.675781 1402 
7.714844 1391 
7.753906 1421 
7.792969 1287 
7.832031 1259 
7.871094 1160 
7.910156 1164 
7.949219 1098 
7.988281 1192 
8.027344 959 
8.066406 1037 
8.105469 967 
8.144531 971 
8.183594 929 
8.222656 906 
8.261719 773 
8.300781 806 
8.339844 706 
8.378906 777 
8.417969 708 
8.457031 667 
8.496094 640 
8.535156 661 
8.574219 590 
8.613281 588 
8.652344 574 
8.691406 497 
8.730469 503 
8.769531 534 
8.808594 457 
8.847656 494 
8.886719 429 
8.925781 462 
8.964844 403 
9.003906 397 
9.042969 393 
9.082031 361 
9.121094 375 
9.160156 321 
9.199219 307 
9.238281 318 
9.277344 312 
9.316406 259 
9.355469 265 
9.394531 264 
9.433594 251 
9.472656 229 
9.511719 235 
9.550781 239 
9.589844 218 
9.628906 200 
9.667969 211 
9.707031 200 
9.746094 183 
9.785156 190 
9.824219 154 
9.863281 167 
9.902344 168 
9.941406 159 
9.980469 142 
10.019531 129 
10.058594 148 
10.097656 119 
10.136719 117 
10.175781 131 
10.214844 105 
10.253906 125 
10.292969 113 
10.332031 113 
10.371094 87 
10.410156 119 
10.449219 120 
10.488281 100 
10.527344 88 
10.566406 75 
10.605469 91 
10.644531 72 
10.683594 73 
10.722656 82 
10.761719 72 
10.800781 72 
10.839844 77 
10.878906 67 
10.917969 69 
10.957031 64 
10.996094 54 
11.035156 48 
11.074219 45 
11.113281 59 
11.152344 53 
11.191406 42 
11.230469 38 
11.269531 46 
11.308594 39 
11.347656 41 
11.386719 37 
11.425781 30 
11.464844 38 
11.503906 33 
11.542969 43 
11.582031 26 
11.621094 26 
11.660156 23 
11.699219 25 
11.738281 28 
11.777344 19 
11.816406 29 
11.855469 24 
11.894531 20 
11.933594 15 
11.972656 21 
12.011719 17 
12.050781 23 
12.089844 16 
12.128906 14 
12.167969 12 
12.207031 25 
12.246094 12 
12.285156 18 
12.324219 6 
12.363281 12 
12.402344 11 
12.441406 13 
12.480469 18 
12.519531 13 
12.558594 10 
12.597656 12 
12.636719 8 
12.675781 7 
12.714844 15 
12.753906 15 
12.792969 9 
12.832031 11 
12.871094 8 
12.910156 6 
12.949219 3 
12.988281 5 
13.027344 5 
13.066406 9 
13.105469 11 
13.144531 2 
13.183594 5 
13.222656 6 
13.261719 4 
13.300781 4 
13.339844 2 
13.378906 9 
13.417969 2 
13.457031 2 
13.496094 5 
13.535156 4 
13.574219 2 
13.613281 4 
13.652344 4 
13.691406 3 
13.730469 2 
13.769531 6 
13.808594 5 
13.847656 6 
13.886719 6 
13.925781 3 
13.964844 4 
14.003906 1 
14.042969 0 
14.082031 2 
14.121094 0 
14.160156 8 
14.199219 6 
14.238281 3 
14.277344 2 
14.316406 1 
14.355469 1 
14.394531 1 
14.433594 3 
14.472656 1 
14.511719 1 
14.550781 3 
14.589844 0 
14.628906 3 
14.667969 1 
14.707031 0 
14.746094 1 
14.785156 4 
14.824219 0 
14.863281 1 
14.902344 1 
14.941406 0 
14.980469 1 
15.019531 0 
15.058594 0 
15.097656 0 
15.136719 2 
15.175781 3 
15.214844 0 
15.253906 1 
15.292969 0 
15.332031 0 
15.371094 1 
15.410156 0 
15.449219 3 
15.488281 0 
15.527344 0 
15.566406 0 
15.605469 0 
15.644531 0 
15.683594 0 
15.722656 0 
15.761719 0 
15.800781 0 
15.839844 0 
15.878906 1 
15.917969 0 
15.957031 1 
15.996094 0 
16.035156 1 
16.074219 0 
16.113281 0 
16.152344 0 
16.191406 0 
16.230469 1 
16.269531 0 
16.308594 1 
16.347656 0 
16.386719 0 
16.425781 0 
16.464844 0 
16.503906 0 
16.542969 0 
16.582031 0 
16.621094 0 
16.660156 0 
16.699219 0 
16.738281 3 
16.777344 0 
16.816406 0 
16.855469 1 
16.894531 1 
16.933594 0 
16.972656 0 
17.011719 1 
17.050781 0 
17.089844 1 
17.128906 0 
17.167969 0 
17.207031 0 
17.246094 0 
17.285156 0 
17.324219 0 
17.363281 1 
