Histogram (GPU):
0.078125 11848160 
0.234375 10134089 
0.390625 8672085 
0.546875 7414566 
0.703125 6342314 
0.859375 5424868 
1.015625 4645156 
1.171875 3967268 
1.328125 3396884 
1.484375 2903386 
1.640625 2482672 
1.796875 2125753 
1.953125 1817383 
2.109375 1555093 
2.265625 1329109 
2.421875 1137718 
2.578125 973193 
2.734375 831364 
2.890625 712031 
3.046875 609576 
3.203125 520975 
3.359375 445447 
3.515625 379933 
3.671875 324751 
3.828125 279071 
3.984375 238329 
4.140625 204652 
4.296875 174862 
4.453125 149025 
4.609375 126797 
4.765625 108654 
4.921875 93305 
5.078125 80342 
5.234375 68116 
5.390625 58332 
5.546875 49723 
5.703125 42893 
5.859375 36553 
6.015625 31148 
6.171875 26458 
6.328125 22953 
6.484375 19557 
6.640625 16491 
6.796875 14210 
6.953125 12144 
7.109375 10517 
7.265625 8996 
7.421875 7682 
7.578125 6652 
7.734375 5501 
7.890625 4681 
8.046875 4155 
8.203125 3579 
8.359375 2997 
8.515625 2558 
8.671875 2162 
8.828125 1914 
8.984375 1655 
9.140625 1364 
9.296875 1154 
9.453125 979 
9.609375 868 
9.765625 727 
9.921875 636 
10.078125 513 
10.234375 474 
10.390625 439 
10.546875 354 
10.703125 299 
10.859375 285 
11.015625 211 
11.171875 192 
11.328125 163 
11.484375 144 
11.640625 100 
11.796875 100 
11.953125 73 
12.109375 65 
12.265625 61 
12.421875 54 
12.578125 43 
12.734375 46 
12.890625 28 
13.046875 30 
13.203125 17 
13.359375 17 
13.515625 13 
13.671875 13 
13.828125 23 
13.984375 8 
14.140625 16 
14.296875 7 
14.453125 6 
14.609375 7 
14.765625 5 
14.921875 3 
15.078125 2 
15.234375 4 
15.390625 4 
15.546875 0 
15.703125 0 
15.859375 1 
16.015625 2 
16.171875 1 
16.328125 1 
16.484375 0 
16.640625 0 
16.796875 4 
16.953125 2 
17.109375 1 
17.265625 0 
17.421875 1 
17.578125 0 
17.734375 1 
17.890625 1 
18.046875 0 
18.203125 0 
18.359375 0 
18.515625 0 
18.671875 0 
18.828125 0 
18.984375 0 
19.140625 0 
19.296875 0 
19.453125 0 
19.609375 0 
19.765625 0 
19.921875 0 
